"kim_larsen"
{
	"override_hero"				"npc_dota_hero_night_stalker"			// Hero to override
	"Ability1" "kim_stille"				
	"Ability2" "kim_paperclip"
	"Ability3" "kim_banana"
	"Ability4" "kim_gasolin"
	"Ability5" "generic_hidden"
	"Ability6" "kim_nat"
	
	
	"Ability10"		"special_bonus_attack_damage_50"
	"Ability11"		"special_bonus_strength_20"
	
	"Ability12"		"special_bonus_hp_400"
	"Ability13"		"special_bonus_kim_1"
	
	"Ability14"		"special_bonus_evasion_20"
	"Ability15"		"special_bonus_kim_3"
	
	"Ability16"		"special_bonus_truestrike"
	"Ability17"		"special_bonus_kim_2"

	"MovementSpeed"               "275"
}
